id,subject,sender,YearMonth,received_time,IsRead
8308,"Nathan, à la une : Free Internet, Boursorama Banque, Deezer, Levi's...",news@fr.igraal.com,202301,20230101_065846,True
8309,Des réductions allant jusqu’à 20% + une annulation sans frais!,hello@mail.looking4.com,202301,20230101_080106,True
8310,Recevez vos supports pédagogiques gratuits,Justine Escudie XTB,202301,20230101_091213,True
8311,Exclusif : recensement de Paris de 1931 pour bien commencer l'année !,Filae.com - Magazine,202301,20230101_121732,True
8312,🎊 Bonne année de la part de Binance,Binance,202301,20230101_123333,True
8313,Synthèse mensuelle,Linxo,202301,20230101_132744,True
8314,Notez et recevez vos Rakuten Points en un clic !,Rakuten,202301,20230101_135923,True
8315,One new years’ resolution off your list: Getting an assured data science job!,Analytics Vidhya,202301,20230101_150614,True
8316,"1st day of the year, first free sample pack of the year...",Luke 'your new years gift' from WavGrind,202301,20230101_151541,True
8317,Olivia vient de vous envoyer un message,Olivia Bibrac via LinkedIn,202301,20230101_151809,False
8318,Ready to harness the future?,GitHub,202301,20230101_225948,True
8319,Votre mot de passe Auchan,Auchan,202301,20230102_061533,False
8320,Commande n°223694277 validée,noreply@serviceclients.auchan.net,202301,20230102_062245,False
8321,"Nathan, à la une : Hotels.com, Ultra Premium Direct, Costa Croisières, SFR - Mobile...",news@fr.igraal.com,202301,20230102_065733,True
8322,🛍 Les Avant-Premières continuent,LE BHV MARAIS,202301,20230102_080350,True
8323,Evaluez le produit acheté récemment à la Fnac,Avis clients Fnac,202301,20230102_080523,True
8324,Glossaire du Trader - CFD,Justine Escudie XTB,202301,20230102_090037,True
8325,Revenez et profitez de 50 % de réduction sur Evernote Personal ! 🎉,Evernote,202301,20230102_090623,True
8326,"Trois marchés à surveiller cette semaine : USDCAD, USDCHF & DE30",XTB FRANCE,202301,20230102_092824,True
8327,Vous avez de nouvelles alertes,Filae.com,202301,20230102_095547,True
8328,⚠️ Votre compte est suspendu suite à un paiement refusé ,Cityscoot,202301,20230102_114818,True
8329,⚠️ Votre compte est suspendu suite à un paiement refusé ,Cityscoot,202301,20230102_114818,True
8330,⚠️ Votre compte est suspendu suite à un paiement refusé ,Cityscoot,202301,20230102_114818,True
8331,Votre commande de lundi après-midi avec Uber Eats,Reçu Uber,202301,20230102_124607,True
8332,Tes frais d'adhésion 100% Offerts 🔥,Fitness Park Nanterre - Les Champs Pierreux,202301,20230102_130717,True
8333,Procure-toi ici tes essentiels de l’hiver,Levi’s® Red Tab™,202301,20230102_131111,True
8334,"Nathan, this is the biggest news in the producer community in 2023!",Luke 'the biggest thing this year' from WavGrind,202301,20230102_142007,True
8335,Notification,Linxo,202301,20230102_144323,True
8336,Votre centre Midas vous souhaite une très belle année,Midas,202301,20230102_160836,True
8337,[ESILV-Projets] événements 2022/2023 : vous pouvez participer ? ,BRANCHET Bérengère,202301,20230102_162530,False
8338,"Natha', du nouveau dans votre voisinage !",Ensembl',202301,20230102_171950,True
8339,Meilleurs vœux Nathan 🎉,ALL - Accor Live Limitless,202301,20230102_192209,True
8340,Confirmation de votre commande Google Play du 3 janv. 2023,Google Play,202301,20230103_034709,True
8341,"Nathan, à la une : Boursorama Banque, Kiosque FAE, Hotels.com, lastminute.com...",news@fr.igraal.com,202301,20230103_065856,True
8342,«The Week» by François Bloch,payoff,202301,20230103_085832,True
8343,Le plus Élégant des lancements,ASPHALTE Homme,202301,20230103_100138,True
8344,New release from The Meaning Of Rave,Bandcamp,202301,20230103_120613,True
8345,[GitHub] Please reset your password,GitHub,202301,20230103_121830,False
8346,[GitHub] Please reset your password,GitHub,202301,20230103_121916,False
8347,[GitHub] Your password was reset,GitHub,202301,20230103_122100,True
8348,[GitHub] Please verify your device,GitHub,202301,20230103_122117,False
8349,New message from Ismus,Bandcamp,202301,20230103_124747,True
8350,Vous disposez de nouveaux documents,LCL INFO,202301,20230103_140417,True
8351,New message from Nulleins Records,Bandcamp,202301,20230103_153847,True
8352,New items from Nulleins Records,Bandcamp,202301,20230103_154123,True
8353,"Get your 25,000 samples and MIDI, Nathan! (early access)",Luke 'early access' from WavGrind,202301,20230103_155837,True
8354,"Nathan, download your 25,000 samples and MIDI! (quickly...😨",Luke 'your bundle' from WavGrind,202301,20230103_165825,True
8355,Notification,Linxo,202301,20230103_175326,True
8356,Pantalon d’hiver : le bon choix de matière,BonneGueule,202301,20230103_200046,True
8357,Confirmation de paiement Uber One,noreply@uber.com,202301,20230103_214804,False
8358,Track Spotlight: Statistics Fundamentals with Python,DataCamp Insights,202301,20230103_221904,False
8359,let's work❓,Luke & Nathan,202301,20230103_234043,True
8360,"Nathan, à la une : HelloFresh, Sephora, FlixBus, Bayard Jeunesse...",news@fr.igraal.com,202301,20230104_065811,True
8361,🎁 Brief.me offert pour commencer 2023 bien informé !,hello@brief.me,202301,20230104_090526,True
8362,📚📚📚Recevez votre pack de trading gratuit et mettez en pratique vos compétences de trading,Justine Escudie XTB,202301,20230104_091219,True
8363,Jusqu'à 20% remboursés sur tous vos achats !,Rakuten,202301,20230104_091545,True
8364,Vous êtes doublement gagnant chez Midas,Midas,202301,20230104_110808,True
8365,"Qu'avez-vous pensé de votre visite sur Auchan.fr ?
",Auchan,202301,20230104_121544,True
8366,New release from Neo Record,Bandcamp,202301,20230104_123032,True
8367,Notification,Linxo,202301,20230104_151530,True
8368,what do you think?,2023,202301,20230104_152114,True
8369,✨ 35 FREE PLUGINS for 2023!,Sanjay C,202301,20230104_174438,True
8370,"New release from Bipolar Disorder Rec., who brought you Hardcore (Bours? remix)",Bandcamp,202301,20230104_185409,True
8371,Le paracétamol interdit de vente en ligne | Livres en braille moins chers | Fraudeurs,Brief.me,202301,20230104_190619,True
8372,Sale Extended! Get 3 months of UAD Spark for 99¢,Universal Audio,202301,20230104_220924,True
8373,Votre compte de démonstration,Justine Escudie XTB,202301,20230105_001213,True
8374,"produce with these samples, Nathan?",Luke @ WavGrind,202301,20230105_003148,True
8375,"Nathan, à la une : Viapresse, Viator, une entreprise TripAdvisor, Tui, G-Star Raw...",news@fr.igraal.com,202301,20230105_065914,True
8376,Les plus belles destinations à découvrir en 2023 👋,Chilowé,202301,20230105_080047,True
8377,4 nouveaux recensements sur Filae dans le Centre-Val de Loire !,Filae.com - Magazine,202301,20230105_084434,True
8378,"Nathan, offre à durée limitée : cours gratuit Penser comme un leader",LinkedIn Learning,202301,20230105_090327,True
8379,Qu'en pensez-vous?,Deliveroo,202301,20230105_090904,True
8380,Economisez sur vos résolutions 2023,Rakuten,202301,20230105_093013,True
8381,Economisez sur vos résolutions 2023,Rakuten,202301,20230105_093230,True
8382,Gagnez 60 € pour chaque ami qui s'inscrit à Revolut 💰,Revolut,202301,20230105_093847,True
8383,"New release from INSANE INDUSTRY, who brought you King Of The Party",Bandcamp,202301,20230105_100742,True
8384,Stockez vos données en France et bénéficiez de la faible latence avec la région AWS Europe (Paris),Amazon Web Services,202301,20230105_101429,True
8385,New release from umbraid,Bandcamp,202301,20230105_102619,True
8386,Trouvez de quoi vous faire plaisir près de chez vous ! 🍎 ,Too Good To Go,202301,20230105_113814,True
8387,"New release from Rave Alert, who brought you PUSH UP EP",Bandcamp,202301,20230105_135444,True
8388,"HEC Paris, ESSEC BS, ESCP : the place to be pour changer le monde ?",Marine du Monde des Grandes Ecoles et Universités,202301,20230105_140932,True
8389,Opportunités professionnelles,Delphine Grandin,202301,20230105_145033,True
8390,download me!🔥,"25,000 samples",202301,20230105_150621,True
8391,Des réductions allant jusqu’à 20% + une annulation sans frais!,hello@mail.looking4.com,202301,20230105_160328,True
8392,Updated Dashlane Privacy Policy,Dashlane,202301,20230105_162953,True
8393,Notification,Linxo,202301,20230105_163300,True
8394,↘️ Les baisses de prix de la semaine en Sports & Hobbies et Décoration,leboncoin,202301,20230105_165743,True
8395,Votre rétrospective 2022 vous attend !,SNCF Connect,202301,20230105_171340,True
8396,💼​ Customer Support - SaaS International (CDI) 🚀,Kérim Sylvestre,202301,20230105_171917,True
8397,Votre demande de prélèvement automatique est prise en compte,Sosh votre service clients,202301,20230105_172232,True
8398,Votre paiement par carte bancaire est pris en compte,Sosh votre service clients,202301,20230105_172547,True
8399,Bibrac Nathan Piscine Sevestre,Piscine A.Sevestre,202301,20230105_175327,True
8400,Erwan vient de vous envoyer un message,Erwan Sévérin via LinkedIn,202301,20230105_180652,True
8401,Licenciements chez Amazon | Zéro braquage au Danemark | Gagner son pain,Brief.me,202301,20230105_190710,True
8402,New items from Jahanam,Bandcamp,202301,20230105_203333,True
8403,New message from umbraid,Bandcamp,202301,20230105_203728,True
8404,Yamaha : une surprise avec le Stagepas...  ,Woodbrass,202301,20230105_230157,True
8405,"thank you, Nathan!❤️",Luke 'you're the best' @ WavGrind,202301,20230105_232235,True
8406,[Suite à votre commande] Votre avis nous intéresse !,Auchan.fr,202301,20230106_071733,True
8407,Jusqu'à 30% remboursés sur nos Ventes Privées High-Tech !,Rakuten,202301,20230106_090545,True
8408,FACTURE EGD - BIBRAC - FA20230010,Societe EGD,202301,20230106_113833,False
8409,Synthèse hebdomadaire,Linxo,202301,20230106_132530,True
8410,Ne ratez pas les baisses de prix de vos produits préférés !,Rakuten,202301,20230106_134809,True
8411,"NATHAN, SFR vous souhaite une très bonne année : soyez vous en 2023 !",SFR,202301,20230106_135933,True
8412,Get Over $1k in UAD Plug-Ins Free w/ Apollo,Universal Audio Partner News,202301,20230106_140004,True
8413,"New release from Jahanam, who brought you Toxic Aura",Bandcamp,202301,20230106_140526,True
8414,Notification,Linxo,202301,20230106_150739,True
8415,Quelques questions caliente,ASPHALTE Homme,202301,20230106_150803,True
8416,"download me, Nathan?",12.6 GB of samples,202301,20230106_152325,True
8417,Purificateur d'air et autres biens les plus demandés 🔍 de la semaine,leboncoin,202301,20230106_161435,True
8418,Téléphone,Alain B,202301,20230106_165426,False
8419,Re: Téléphone,Alain B,202301,20230106_165614,False
8420,Fwd: Téléphone,Alain B,202301,20230106_171330,False
8421,Profitez des derniers jours des Avant-Premières !,LE BHV MARAIS,202301,20230106_181504,True
8422,Répondre à la crise de l’hôpital | Tenir après une insomnie | Chansons grivoises,Brief.me,202301,20230106_190545,True
8423,Confirmation de votre commande 88074764 ,SEE Tickets,202301,20230106_211600,True
8424,Cheers to 30 Years of Changing the Game 🥂,UFC,202301,20230106_214119,True
8425,Zone 2023,Audiofanzine.com,202301,20230106_224454,True
8426,"see you this year, Nathan?",writer's block,202301,20230107_001231,True
8427,Repair Guides,AIAIAI,202301,20230107_020226,True
8428,Avez-vous bien reçu l'intégralité de votre commande ? (456852314) - Arnaud (Service Clients Rakuten),Rakuten Service Clients,202301,20230107_054500,True
8429,"Nathan, à la une : L'Or Espresso, Emma Matelas Belgique, Viapresse, Kiosque FAE...",news@fr.igraal.com,202301,20230107_065919,True
8430,Vous pouvez encore nous donner votre avis!,Deliveroo,202301,20230107_090957,True
8431,Marché NATGAS - Ebook gratuit,Justine Escudie XTB,202301,20230107_091224,True
8432,Jusqu'à demain seulement - Audible gratuit 3 mois,Amazon.fr,202301,20230107_092408,True
8433,Réformes des retraites | Tirailleurs | Monde des dinosaures,Brief.me Week-end,202301,20230107_094936,True
8434,Nos résolutions vestimentaires de 2023,BonneGueule,202301,20230107_100051,True
8435,Newsletter | Nos bons plans pour 2023,Vélib' Métropole,202301,20230107_100601,True
8436,"Nathan, retrouvez votre récompense de la semaine ici 🎉",Google Play,202301,20230107_122417,True
8437,Des destinations et des rencontres vous attendent,Uber,202301,20230107_124157,True
8438,"Nathan, cette année pour vous tout est cadeau !",ALL - Accor Live Limitless,202301,20230107_131224,True
8439,"New release from INSANE INDUSTRY, who brought you King Of The Party",Bandcamp,202301,20230107_133922,True
8440,Récapitulatif passager du mois de décembre 2022,Uber,202301,20230107_134545,True
8441,Notification,Linxo,202301,20230107_141834,True
8442,Découvrez votre rétrospective mapstr 🥳🗺,"Carla, Mapstr",202301,20230107_143915,True
8443,Maintenant disponible sur Prime Video,Prime Video,202301,20230107_152729,True
8444,"your 25,000 melodies, drum samples, and vocals are getting deleted soon!",Luke 'gone soon' @ WavGrind,202301,20230107_155242,True
8445,Passez gratuitement à l'Offre Famille pendant 3 mois,Amazon.fr,202301,20230107_181708,True
8446,"n.bibrac, est ce que tu veux recevoir 10€, afin de profiter d'une réduction sur ta prochaine commande Copees?",Copees,202301,20230107_195942,True
8447,Need distractions? Try these on us.,Tumblr,202301,20230107_234835,True
8448,Avis d'abandon de recherche - référence dossier : O-202211-02288587,noreply@gares-sncf.com,202301,20230108_010116,True
8449,"they're about to delete me! Download me quicikly, Nathan","your 25,000 samples",202301,20230108_011237,True
8450,"🌍 Nathan, voici votre récapitulatif de 2022",Google Maps Timeline,202301,20230108_012451,True
8451,Reset your password,Native Instruments,202301,20230108_021635,False
8452,"[Super Sunday] A la une Nathan : Boursorama Banque, chaussures.fr, ENGIE...",news@fr.igraal.com,202301,20230108_065848,True
8453,Des réductions allant jusqu’à 20% + une annulation sans frais!,hello@mail.looking4.com,202301,20230108_080524,True
8454,⏰ Dernières heures : Filae premium 1 an à 40€ seulement,Filae.com,202301,20230108_084129,True
8455,📱 Jusqu'à 25% remboursés sur vos sites High-Tech préférés !,Rakuten,202301,20230108_093011,True
8456,"🥂Offre Linxo Premium à 29,99€/an !",Linxo Info,202301,20230108_100114,True
8457,C’est parti pour la vente de stock !,ASPHALTE Homme,202301,20230108_100519,True
8458,Plus que quelques jours : Audible gratuit 3 mois,Amazon.fr,202301,20230108_101339,True
8459,"your holiday gift! (getting deleted tomorrow, Nathan😨)",Luke 'happy holidays' @ WavGrind,202301,20230108_152427,True
8460,Voici comment tenir ses résolutions 🙌,Cafeyn,202301,20230108_153235,True
8461,"hey Nathan, download your 25,000 samples here!🤯",Luke 'gone tomorrow' @ WavGrind,202301,20230109_011626,True
8462,Conversion de devise réussie,Skype,202301,20230109_021726,True
8463,"Nathan, à la une : Farnell, Vistaprint, Expedia, Hostinger...",news@fr.igraal.com,202301,20230109_065822,True
8464,30 jours sans sucre : cap ou pas cap ? 🍫🍬,adidas Runtastic,202301,20230109_070453,True
8465,Résolution 2023 : optimisez vos recherches avec Filae !,Filae.com - Magazine,202301,20230109_084427,True
8466,Avez-vous vu notre offre ? Une réduction de 50 % vous attend,Evernote,202301,20230109_090036,True
8467,«The Week» by François Bloch,payoff,202301,20230109_090040,True
8468,L’essentiel d’AWS re:Invent 2022 en 2 heures top chrono !,Amazon Web Services,202301,20230109_092254,True
8469,Vous avez de nouvelles alertes,Filae.com,202301,20230109_094519,True
8470,Votre paiement de 20.67€ ,Cityscoot,202301,20230109_103229,True
8471,Votre paiement de 20.67€ ,Cityscoot,202301,20230109_103231,True
8472,Offre action gratuite,XTB FRANCE,202301,20230109_135022,True
8473,New message from Ismus,Bandcamp,202301,20230109_141750,True
8474,Vous êtes éligibles à un nouvel IBAN français ! 🇫🇷 ,Revolut,202301,20230109_144402,True
8475,"New release from Rave Alert, who brought you PUSH UP EP",Bandcamp,202301,20230109_150603,True
8476,Envie de faire une pause après les fêtes ?,Transavia,202301,20230109_151248,True
8477,"deleting your 25,000 samples tonight, Nathan!😬",Luke 'gone tonight' @ WavGrind,202301,20230109_155115,True
8478,Assaut contre les institutions au Brésil | Vaccin pour abeilles | Soldes,Brief.me,202301,20230109_190550,True
8479,"quick, download me Nathan!🔥","your 25,000 melodies, drum samples, and vocals",202301,20230109_200835,True
8480,€151 Off: Become a data professional this year!,DataCamp,202301,20230109_222934,True
8481,[SFR] Votre facture SFR fixe de janvier 2023,ne_pas_repondre@sfr.fr,202301,20230110_002831,True
